unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-10-SWC-36-BKBK,0.2,1.1102825193288748,5.551412596644374,0.9545454545454546,0.010305885535243333,False,0.4,2024-06-17,109,intermittent,full,1.6923076923076923,0.6153846153846154
CA-10-SWC-38-BKBK,2.5545454545454547,13.645236507252008,5.3415516576431346,0.9545454545454546,0.13153754254671685,False,5.109090909090909,2024-06-17,109,intermittent,full,21.615384615384617,0.6153846153846154
CA-10-SWC-40-BKBK,0.6818181818181818,3.8136878314871363,5.593408819514467,0.9545454545454546,0.03514189752721863,False,1.3636363636363635,2024-06-17,109,intermittent,full,5.769230769230769,0.6153846153846154
CA-10-SWC-42-BKBK,0.02727272727272727,0.2114491518111456,7.753135566408672,0.9818181818181818,0.0014381353830895116,False,0.05454545454545454,2024-06-17,109,intermittent,full,0.23076923076923078,0.8461538461538461
CA-CL-AT-CBL,3.018181818181818,2.9541398322964216,0.9787812697367663,0.3,0.05526226810630481,False,4.290909090909091,2026-04-27,13,smooth,short,5.384615384615385,0.0
CA-CL-CH-CSC-GR,0.01818181818181818,0.13360853142453696,7.348469228349534,0.9818181818181818,0.0005770574577914027,False,0.03636363636363636,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-CH-HRP-BRL,0.01818181818181818,0.13360853142453696,7.348469228349534,0.9818181818181818,-1.8033045555981217e-05,False,0.01818181818181818,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-CH-LSC-BK,0.00909090909090909,0.09491187735373227,10.44030650891055,0.990909090909091,0.00021188828528278066,False,0.01818181818181818,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-ET-TRI-BK,0.03636363636363636,0.2307014098263549,6.34428877022476,0.9727272727272728,-7.213218222392495e-05,False,0.03636363636363636,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-OR-CTO,0.045454545454545456,0.2082988952252655,4.582575694955841,0.9545454545454546,0.0013209205869756325,False,0.07272727272727272,2024-06-17,109,intermittent,full,0.23076923076923078,0.7692307692307693
CA-CL-OR-HBH-BK,0.03636363636363636,0.18719327529067276,5.147815070493501,0.9636363636363636,0.00039672700223158946,False,0.03636363636363636,2024-06-17,109,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-OR-HBH-GR,0.07272727272727272,0.25968830649246727,3.570714214271425,0.9272727272727272,-0.0007664044361292072,False,0.0,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-PB-CBL,0.10909090909090909,0.3654500225862142,3.3499585403736303,0.9090909090909091,-0.0017311723733742102,False,0.05454545454545454,2024-06-17,109,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-PM-APM-BN,0.23636363636363636,0.8304136179395808,3.513288383590534,0.8909090909090909,0.0003786939566756091,False,0.2545454545454545,2024-06-17,109,intermittent,full,0.0,1.0
CA-CL-PM-WCB,0.02727272727272727,0.162877026065172,5.9721576223896395,0.9727272727272728,0.0006266483330703514,False,0.03636363636363636,2024-06-17,109,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-WS-RSV,0.02727272727272727,0.16287702606517196,5.972157622389639,0.9727272727272728,0.0009151770619660528,False,0.05454545454545454,2024-06-17,109,intermittent,full,0.15384615384615385,0.8461538461538461
CA-FM-80-FM10066,0.00909090909090909,0.09491187735373227,10.44030650891055,0.990909090909091,0.0004733674458445101,False,0.01818181818181818,2024-06-17,109,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM10167,0.02727272727272727,0.21144915181114557,7.753135566408671,0.9818181818181818,0.0013840362464215676,False,0.05454545454545454,2024-06-17,109,intermittent,full,0.23076923076923078,0.8461538461538461
CA-FM-80-FM10170,0.01818181818181818,0.133608531424537,7.3484692283495345,0.9818181818181818,0.0009467348916890202,False,0.03636363636363636,2024-06-17,109,intermittent,full,0.15384615384615385,0.8461538461538461
