unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-CL-AT-CBL,3.1171171171171173,2.9856676822456483,0.957829805575916,0.2882882882882883,0.05611618111618113,False,4.410714285714286,2024-06-24,110,smooth,full,5.461538461538462,0.0
CA-CL-CH-CSC-GR,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.0005352755352755354,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-CH-HRP-BK,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00048262548262548264,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-CH-HRP-BRL,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,-4.387504387504406e-05,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-CH-LSC-BK,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0001930501930501931,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-ET-TRI-BK,0.036036036036036036,0.22968556367535065,6.37377439199098,0.972972972972973,-0.00012285012285012287,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-OR-CTO,0.04504504504504504,0.2074029627607448,4.604345773288535,0.954954954954955,0.0012197262197262196,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.23076923076923078,0.7692307692307693
CA-CL-OR-HBH-BK,0.0990990990990991,0.5361685050942886,5.410427642315094,0.9459459459459459,0.003694278694278695,False,0.16071428571428573,2024-06-24,110,intermittent,full,0.6153846153846154,0.7692307692307693
CA-CL-OR-HBH-GR,0.07207207207207207,0.25860720890824007,3.588175023601831,0.9279279279279279,-0.0008511758511758513,False,0.0,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-PB-CBL,0.10810810810810811,0.36394612390493974,3.3665016461206925,0.9099099099099099,-0.0018427518427518472,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-PM-APM-BN,0.23423423423423423,0.82696617962976,3.530509459188591,0.8918918918918919,2.632502632502617e-05,False,0.25,2024-06-24,110,intermittent,full,0.0,1.0
CA-CL-PM-WCB,0.02702702702702703,0.16216216216216217,6.0,0.972972972972973,0.0005703755703755706,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-CL-WS-RSV,0.02702702702702703,0.16216216216216223,6.000000000000002,0.972972972972973,0.0008511758511758514,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-FM-80-FM10170,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.000895050895050895,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-FM-80-FM10185,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.0009126009126009125,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-FM-80-FM10191,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004475254475254477,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM10353,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00041242541242541246,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM10519,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00042997542997542986,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM10657,0.018018018018018018,0.13301642396606667,7.3824115301167,0.9819819819819819,0.000895050895050895,False,0.03571428571428571,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-FM-80-FM10663,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004563004563004563,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM10665,0.036036036036036036,0.18637982761781263,5.172040216394301,0.963963963963964,0.001605826605826606,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.23076923076923078,0.7692307692307693
CA-FM-80-FM11331,0.036036036036036036,0.22968556367535067,6.373774391990981,0.972972972972973,0.0017988767988767994,False,0.07142857142857142,2024-06-24,110,intermittent,full,0.3076923076923077,0.7692307692307693
CA-FM-80-FM11456,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00048262548262548264,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM11467,0.02702702702702703,0.21051029631617882,7.788880963698616,0.9819819819819819,0.0013250263250263253,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.23076923076923078,0.8461538461538461
CA-FM-80-FM11489,0.02702702702702703,0.21051029631617882,7.788880963698616,0.9819819819819819,0.0013776763776763778,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.23076923076923078,0.8461538461538461
CA-FM-80-FM11536,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004563004563004563,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM11550,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.00048262548262548264,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM11564,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004387504387504389,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM11582,0.009009009009009009,0.09448728361893258,10.488088481701515,0.990990990990991,0.0004738504738504738,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-FM-80-FM11705,0.02702702702702703,0.21051029631617882,7.788880963698616,0.9819819819819819,0.0012372762372762373,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.23076923076923078,0.8461538461538461
CA-FM-80-FM11714,0.08108108108108109,0.405705594565683,5.003702332976757,0.954954954954955,0.003983853983853985,False,0.16071428571428573,2024-06-24,110,intermittent,full,0.6923076923076923,0.6153846153846154
