model_version,window,cutoff,segment,n_skus,actual_units,pooled_wape,bias_pct
v11,Mar-May,2026-02-23,smooth/long,57,13166,0.135,-6.2
v11,Mar-May,2026-02-23,smooth/short,224,23757,0.1926,8.3
v11,Mar-May,2026-02-23,TOTAL,281,36923,0.172,3.1
v11,Dec-Feb,2025-12-15,smooth/long,54,11425,0.1389,4.3
v11,Dec-Feb,2025-12-15,smooth/short,206,18936,0.1994,0.4
v11,Dec-Feb,2025-12-15,TOTAL,260,30361,0.1766,1.8
v11,Oct-Dec,2025-10-06,smooth/long,54,18207,0.104,1.0
v11,Oct-Dec,2025-10-06,smooth/short,16,1180,0.2473,7.5
v11,Oct-Dec,2025-10-06,TOTAL,70,19387,0.1128,1.4
v1,Mar-May,2026-02-23,smooth/long,57,13166,0.2884,-28.6
v1,Mar-May,2026-02-23,smooth/short,224,23757,0.3412,-32.1
v1,Mar-May,2026-02-23,TOTAL,281,36923,0.3224,-30.9
v1,Dec-Feb,2025-12-15,smooth/long,54,11425,0.4007,37.8
v1,Dec-Feb,2025-12-15,smooth/short,206,18936,0.2292,13.1
v1,Dec-Feb,2025-12-15,TOTAL,260,30361,0.2937,22.4
v1,Oct-Dec,2025-10-06,smooth/long,54,18207,0.084,-0.6
v1,Oct-Dec,2025-10-06,smooth/short,16,1180,0.2037,-6.9
v1,Oct-Dec,2025-10-06,TOTAL,70,19387,0.0913,-1.0
