unique_id,model_version,window,cutoff,bucket,history_length,yhat_total,y_total,ae,bias
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,146.29242383070874,141,5.292423830708742,5.292423830708742
CA-SC-10-B-10-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,545.3642449698527,627,81.63575503014727,-81.63575503014727
CA-SC-10-B-10-BR-1TO,v11,Mar-May,2026-02-23,smooth,short,82.56578539807359,55,27.565785398073587,27.565785398073587
CA-SC-10-B-10-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,77.64887463816133,107,29.35112536183867,-29.35112536183867
CA-SC-10-B-10-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,188.25543851240178,233,44.74456148759822,-44.74456148759822
CA-SC-10-B-10-GR-1TO,v11,Mar-May,2026-02-23,smooth,short,139.48875446510533,156,16.51124553489467,-16.51124553489467
CA-SC-10-B-10-WR-1TO,v11,Mar-May,2026-02-23,smooth,short,124.98714098705797,122,2.9871409870579697,2.9871409870579697
CA-SC-10-B-124-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,141.1902314233773,156,14.809768576622702,-14.809768576622702
CA-SC-10-B-124-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,48.816096983585126,43,5.816096983585126,5.816096983585126
CA-SC-10-B-125-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,94.66724650314148,102,7.3327534968585155,-7.3327534968585155
CA-SC-10-B-125-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,76.9831528911907,58,18.9831528911907,18.9831528911907
CA-SC-10-B-127-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,296.33303434411795,251,45.33303434411795,45.33303434411795
CA-SC-10-B-127-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,86.03633142116988,62,24.036331421169876,24.036331421169876
CA-SC-10-B-127-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,80.25732042599968,59,21.25732042599968,21.25732042599968
CA-SC-10-B-129-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,49.96185015509084,33,16.961850155090843,16.961850155090843
CA-SC-10-B-131-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,34.855806302928926,48,13.144193697071074,-13.144193697071074
CA-SC-10-B-132-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,97.2099633984269,107,9.790036601573107,-9.790036601573107
CA-SC-10-B-132-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,46.63445451840299,48,1.3655454815970103,-1.3655454815970103
CA-SC-10-B-132-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,41.946478354070976,54,12.053521645929024,-12.053521645929024
CA-SC-10-B-137-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,49.70185078125683,83,33.29814921874317,-33.29814921874317
CA-SC-10-B-138-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,226.7315350421567,69,157.7315350421567,157.7315350421567
CA-SC-10-B-138-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,113.16064555664025,39,74.16064555664025,74.16064555664025
CA-SC-10-B-141-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,59.679486623841214,28,31.679486623841214,31.679486623841214
CA-SC-10-B-147-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,84.74448404241326,33,51.74448404241326,51.74448404241326
CA-SC-10-B-149-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,43.889400690046,34,9.889400690046003,9.889400690046003
CA-SC-10-B-15-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,71.75208555761388,44,27.75208555761388,27.75208555761388
CA-SC-10-B-151-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,61.758752752819944,29,32.758752752819944,32.758752752819944
CA-SC-10-B-159-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,27.142552919106883,52,24.857447080893117,-24.857447080893117
CA-SC-10-B-16-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,38.1673150531128,42,3.8326849468871984,-3.8326849468871984
CA-SC-10-B-16-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,88.78011766752587,75,13.780117667525872,13.780117667525872
CA-SC-10-B-162-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,66.64454065939815,10,56.644540659398146,56.644540659398146
CA-SC-10-B-176-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,159.11300661571698,155,4.113006615716984,4.113006615716984
CA-SC-10-B-176-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,74.0725638964357,48,26.072563896435696,26.072563896435696
CA-SC-10-B-177-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,164.26070162651015,130,34.260701626510155,34.260701626510155
CA-SC-10-B-177-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,66.28947392617047,69,2.710526073829527,-2.710526073829527
CA-SC-10-B-188-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,37.637310574078114,31,6.637310574078114,6.637310574078114
CA-SC-10-B-201-GR-1TO,v11,Mar-May,2026-02-23,smooth,short,56.3628876173098,64,7.637112382690198,-7.637112382690198
CA-SC-10-B-22-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,55.58853654405468,36,19.588536544054683,19.588536544054683
CA-SC-10-B-28-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,117.62327141826188,114,3.6232714182618793,3.6232714182618793
CA-SC-10-B-28-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,219.85228296809777,263,43.14771703190223,-43.14771703190223
CA-SC-10-B-28-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,40.611240708041926,45,4.388759291958074,-4.388759291958074
CA-SC-10-B-28-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,93.27363612363062,97,3.7263638763693763,-3.7263638763693763
CA-SC-10-B-28-GR-1TO,v11,Mar-May,2026-02-23,smooth,short,67.84069942357027,90,22.15930057642973,-22.15930057642973
CA-SC-10-B-28-WR-1TO,v11,Mar-May,2026-02-23,smooth,short,82.91461643831909,67,15.914616438319086,15.914616438319086
CA-SC-10-B-32-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,129.19585425889446,105,24.195854258894457,24.195854258894457
CA-SC-10-B-32-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,458.94204131325137,466,7.057958686748634,-7.057958686748634
CA-SC-10-B-32-BR-1TO,v11,Mar-May,2026-02-23,smooth,short,57.422651719274164,40,17.422651719274164,17.422651719274164
CA-SC-10-B-32-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,78.83531574445782,75,3.835315744457816,3.835315744457816
CA-SC-10-B-32-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,173.21367358083654,158,15.213673580836542,15.213673580836542
CA-SC-10-B-32-GR-1TO,v11,Mar-May,2026-02-23,smooth,short,100.76703557961316,101,0.2329644203868355,-0.2329644203868355
CA-SC-10-B-32-WR-1TO,v11,Mar-May,2026-02-23,smooth,short,76.96903555997429,89,12.030964440025713,-12.030964440025713
CA-SC-10-B-36-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,35.77715553697766,29,6.777155536977659,6.777155536977659
CA-SC-10-B-36-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,54.6991261852068,51,3.6991261852068007,3.6991261852068007
CA-SC-10-B-37-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,228.00889015117562,190,38.00889015117562,38.00889015117562
CA-SC-10-B-37-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,127.62539855837055,135,7.374601441629451,-7.374601441629451
CA-SC-10-B-38-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,45.26097613125018,46,0.7390238687498183,-0.7390238687498183
CA-SC-10-B-39-BK-1TO,v11,Mar-May,2026-02-23,smooth,long,66.58362101822622,57,9.583621018226225,9.583621018226225
CA-SC-10-B-44-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,108.4375760737361,103,5.437576073736096,5.437576073736096
CA-SC-10-B-44-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,323.3492310317848,285,38.349231031784825,38.349231031784825
CA-SC-10-B-44-DB-1TO,v11,Mar-May,2026-02-23,smooth,short,89.17422302097181,94,4.825776979028191,-4.825776979028191
CA-SC-10-B-44-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,180.92519893604387,180,0.9251989360438699,0.9251989360438699
CA-SC-10-B-44-GR-1TO,v11,Mar-May,2026-02-23,smooth,short,68.20401630391203,69,0.7959836960879727,-0.7959836960879727
CA-SC-10-B-47-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,55.65790975707013,60,4.342090242929871,-4.342090242929871
CA-SC-10-B-47-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,67.55894423873913,86,18.44105576126087,-18.44105576126087
CA-SC-10-B-48-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,46.99082170331489,45,1.990821703314893,1.990821703314893
CA-SC-10-B-53-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,60.64401935899015,37,23.64401935899015,23.64401935899015
CA-SC-10-B-56-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,79.59704251220192,69,10.597042512201924,10.597042512201924
CA-SC-10-B-67-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,41.16931515379895,32,9.169315153798948,9.169315153798948
CA-SC-10-B-71-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,42.04291652210477,41,1.0429165221047683,1.0429165221047683
CA-SC-10-B-76-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,59.52515317911934,53,6.525153179119343,6.525153179119343
CA-SC-10-B-76-DG-1TO,v11,Mar-May,2026-02-23,smooth,short,43.88058574929506,55,11.119414250704942,-11.119414250704942
CA-SC-10-B-NEW-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,155.29848986768474,121,34.29848986768474,34.29848986768474
CA-SC-10-F-10-BE-1TO,v11,Mar-May,2026-02-23,smooth,short,726.7602863442929,686,40.76028634429292,40.76028634429292
CA-SC-10-F-10-BK-1TO,v11,Mar-May,2026-02-23,smooth,short,1603.331506123273,1537,66.3315061232729,66.3315061232729
CA-SC-10-F-10-BKRD-STI,v11,Mar-May,2026-02-23,smooth,short,175.83595821578808,274,98.16404178421192,-98.16404178421192
CA-SC-10-F-10-BKWH-STI,v11,Mar-May,2026-02-23,smooth,short,199.7322161368386,178,21.732216136838588,21.732216136838588
CA-SC-10-F-10-BR-1TO,v11,Mar-May,2026-02-23,smooth,short,151.44373642274812,152,0.5562635772518831,-0.5562635772518831
