unique_id,model_version,window,cutoff,ds,lead,yhat,y
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2025-12-22,1,11.448692620371958,19
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2025-12-29,2,11.507392144411735,12
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-01-05,3,8.653360128894555,14
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-01-12,4,8.694554216336437,12
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-01-19,5,8.673957020180417,7
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-01-26,6,8.639003162779737,3
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-02-02,7,9.214936706965053,7
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-02-09,8,9.238674988870583,12
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-02-16,9,9.317433551707344,17
CA-SC-10-B-10-BE-1TO,v11,Dec-Feb,2025-12-15,2026-02-23,10,9.599027307440027,16
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-03-02,1,14.390286499471694,14
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-03-09,2,14.390286499471694,12
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-03-16,3,14.270995695250829,20
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-03-23,4,14.22111549002153,9
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-03-30,5,13.911427245022786,17
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-04-06,6,14.684284314190718,18
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-04-13,7,14.648483317058291,9
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-04-20,8,14.648483317058291,14
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-04-27,9,15.164465836156287,20
CA-SC-10-B-10-BE-1TO,v11,Mar-May,2026-02-23,2026-05-04,10,15.962595617006619,8
CA-SC-10-B-10-BK-1TO,v11,Dec-Feb,2025-12-15,2025-12-22,1,49.289574312118496,55
CA-SC-10-B-10-BK-1TO,v11,Dec-Feb,2025-12-15,2025-12-29,2,49.289574312118496,62
CA-SC-10-B-10-BK-1TO,v11,Dec-Feb,2025-12-15,2026-01-05,3,36.96718073408887,55
CA-SC-10-B-10-BK-1TO,v11,Dec-Feb,2025-12-15,2026-01-12,4,37.12488406742601,47
CA-SC-10-B-10-BK-1TO,v11,Dec-Feb,2025-12-15,2026-01-19,5,37.12488406742601,27
